Resident Town ID ,District ID,Resident Town ,Sent to District ,School Year,School Type ,PK,K,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Total
156,156,West Haven,West Haven School District,2010-11, Homebound,0,1,1,0,0,0,0,0,1,3,10,3,5,2,26
154,900,Westbrook,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,1,3,3,2,9
154,064,Westbrook,Hartford School District,2010-11, Magnet School,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
154,265,Westbrook,Interdistrict School for Arts and Comm District,2010-11,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
154,093,Westbrook,New Haven School District,2010-11, Magnet School,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
154,095,Westbrook,New London School District,2010-11, Magnet School,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
154,154,Westbrook,Westbrook School District,2010-11,,25,66,64,65,56,60,91,76,64,78,71,77,77,76,946
157,900,Weston,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
157,103,Weston,Norwalk School District,2010-11, Magnet School,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
157,214,Weston,Regional School District 14,2010-11,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
157,135,Weston,Stamford School District,2010-11, Magnet School,0,2,0,3,0,1,0,1,1,0,0,1,0,0,9
157,157,Weston,Weston School District,2010-11,,40,159,166,177,168,215,205,211,215,179,193,205,186,191,2510
158,244,Westport,Area Cooperative Educational Services,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
158,009,Westport,Bethel School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
158,900,Westport,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
158,243,Westport,Cooperative Educational Services,2010-11,,0,0,1,1,0,1,1,0,1,0,2,0,0,1,8
158,093,Westport,New Haven School District,2010-11, Voag,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
158,270,Westport,Side By Side Community School District,2010-11,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
158,158,Westport,Westport School District,2010-11,,55,390,396,434,415,455,440,432,437,441,455,467,428,464,5709
159,241,Wethersfield,Capitol Region Education Council,2010-11,,29,1,0,2,0,1,0,0,0,1,1,1,0,2,38
159,241,Wethersfield,Capitol Region Education Council,2010-11, Magnet School,8,14,10,5,3,6,7,1,1,7,2,3,3,2,72
159,287,Wethersfield,Charter School for Young Children on Asylum Hill,2010-11,,1,1,2,1,0,0,0,0,0,0,0,0,0,0,5
159,900,Wethersfield,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,3,5,3,2,13
159,043,Wethersfield,East Hartford School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
159,054,Wethersfield,Glastonbury School District,2010-11, Voag,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3
159,064,Wethersfield,Hartford School District,2010-11, Magnet School,6,8,1,3,4,5,3,11,9,7,8,3,3,5,76
159,261,Wethersfield,Jumoke Academy District,2010-11,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
159,245,Wethersfield,Learn,2010-11, Magnet School,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
159,159,Wethersfield,Wethersfield School District,2010-11,,72,244,287,253,269,282,289,275,326,292,312,258,292,311,3762
159,159,Wethersfield,Wethersfield School District,2010-11, Homebound,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
160,241,Willington,Capitol Region Education Council,2010-11, Magnet School,1,0,0,0,0,1,0,0,0,0,1,0,1,0,4
160,900,Willington,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,5,6,3,7,21
160,043,Willington,East Hartford School District,2010-11, Magnet School,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
160,253,Willington,Eastern Connecticut Regional Educational Service Center,2010-11,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
160,253,Willington,Eastern Connecticut Regional Educational Service Center,2010-11, Magnet School,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
160,064,Willington,Hartford School District,2010-11, Magnet School,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160,219,Willington,Regional School District 19,2010-11,,0,0,0,0,0,0,0,0,0,0,66,59,76,58,259
160,219,Willington,Regional School District 19,2010-11, Voag,0,0,0,0,0,0,0,0,0,0,8,6,2,3,19
160,160,Willington,Willington School District,2010-11,,24,34,48,52,53,51,64,62,54,69,0,0,0,0,511
161,243,Wilton,Cooperative Educational Services,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
161,034,Wilton,Danbury School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
161,057,Wilton,Greenwich School District,2010-11,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
161,103,Wilton,Norwalk School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
161,135,Wilton,Stamford School District,2010-11, Magnet School,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
161,158,Wilton,Westport School District,2010-11,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
161,161,Wilton,Wilton School District,2010-11,,62,292,282,352,317,339,365,330,352,351,310,332,316,316,4316
162,241,Winchester,Capitol Region Education Council,2010-11,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
162,241,Winchester,Capitol Region Education Council,2010-11, Magnet School,5,1,0,0,0,0,0,0,0,1,3,1,1,3,15
162,900,Winchester,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,20,11,16,18,65
162,242,Winchester,Education Connection,2010-11,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,31
162,272,Winchester,Explorations District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,8,7,13,28
162,064,Winchester,Hartford School District,2010-11,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
162,092,Winchester,New Hartford School District,2010-11,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
162,098,Winchester,Norfolk School District,2010-11,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
162,207,Winchester,Regional School District 07,2010-11,,0,0,0,0,0,0,0,0,1,3,12,7,5,7,35
162,207,Winchester,Regional School District 07,2010-11, Voag,0,0,0,0,0,0,0,0,0,0,15,7,5,12,39
162,902,Winchester,The Gilbert School,2010-11, Designated High School,0,0,0,0,0,0,0,0,0,0,79,88,91,61,319
162,162,Winchester,Winchester School District,2010-11,,31,90,91,95,103,114,90,116,107,109,0,0,0,1,947
