,,,,,,,,,,,,,,,,,,,,,,
resident.town.id,resident.town,,private.school.location,year,,private.school.total,PK,K,G1,G2,G3,,G4,G5,G6,G7,G8,G9,G10,G11,G12,
8,Bethany,,Waterbury,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,
8,Bethany,,West Hartford,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,
8,Bethany,,West Haven,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,
8,Bethany,,Woodbridge,2010-11,,7,0,1,0,1,1,,0,1,0,2,1,0,0,0,0,
8,Bethany,,Woodstock,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,
9,Bethel,,Bethel,2010-11,,163,28,20,13,20,12,,13,15,10,17,15,0,0,0,0,
9,Bethel,,Brookfield,2010-11,,4,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,
9,Bethel,,Danbury,2010-11,,107,24,4,4,4,3,,1,1,3,0,1,21,10,15,16,
9,Bethel,,Fairfield,2010-11,,3,0,0,0,0,0,,1,0,0,0,0,0,0,1,1,
9,Bethel,,Kent,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,
9,Bethel,,Litchfield,2010-11,,3,0,0,0,0,0,,0,0,0,0,0,1,0,1,1,
9,Bethel,,Milford,2010-11,,3,0,0,0,0,0,,0,0,1,0,0,0,0,1,1,
9,Bethel,,Monroe,2010-11,,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,
9,Bethel,,New Britain,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,
9,Bethel,,New Canaan,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,
9,Bethel,,New Milford,2010-11,,5,0,0,1,0,0,,0,0,0,1,0,0,1,0,2,
9,Bethel,,New Preston,2010-11,,2,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,
9,Bethel,,Newtown,2010-11,,12,3,2,1,1,2,,2,1,0,0,0,0,0,0,0,
9,Bethel,,Plainville,2010-11,,3,0,0,0,0,0,,0,0,0,0,1,0,0,1,1,
9,Bethel,,Ridgefield,2010-11,,4,0,0,0,0,1,,0,2,1,0,0,0,0,0,0,
9,Bethel,,Trumball,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
9,Bethel,,Trumbull,2010-11,,4,0,0,0,0,0,,1,0,0,1,0,0,0,1,1,
9,Bethel,,Watertown,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,
9,Bethel,,West Hartford,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,
9,Bethel,,Wilton,2010-11,,3,0,1,1,0,0,,1,0,0,0,0,0,0,0,0,
10,Bethlehem,,Bethlehem,2010-11,,2,0,0,0,0,0,,0,0,0,1,0,0,0,1,0,
10,Bethlehem,,Kent,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,
10,Bethlehem,,Lakeville,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
10,Bethlehem,,Litchfield,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,
10,Bethlehem,,Middlebury,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,
10,Bethlehem,,New Milford,2010-11,,3,0,0,0,0,0,,0,0,0,0,0,1,2,0,0,
10,Bethlehem,,New Preston,2010-11,,12,2,0,3,0,1,,1,1,2,0,2,0,0,0,0,
10,Bethlehem,,Newtown,2010-11,,2,0,0,0,0,0,,0,0,1,1,0,0,0,0,0,
10,Bethlehem,,Northfield,2010-11,,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,
10,Bethlehem,,Oakville,2010-11,,8,1,0,1,0,1,,1,1,1,0,2,0,0,0,0,
10,Bethlehem,,Washington,2010-11,,15,0,0,1,1,0,,2,1,1,1,1,3,0,1,3,
10,Bethlehem,,Waterbury,2010-11,,21,0,0,1,1,1,,0,2,3,1,1,5,2,3,1,
10,Bethlehem,,Watertown,2010-11,,11,0,0,0,1,1,,2,0,2,0,1,1,2,0,1,
11,Bloomfield,,Avon,2010-11,,5,1,1,2,0,0,,0,1,0,0,0,0,0,0,0,
11,Bloomfield,,Bloomfield,2010-11,,5,0,0,1,0,0,,0,0,0,1,1,1,0,1,0,
11,Bloomfield,,Cromwell,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
11,Bloomfield,,East Hartford,2010-11,,5,1,0,0,1,0,,1,0,2,0,0,0,0,0,0,
11,Bloomfield,,Enfield,2010-11,,4,0,0,0,1,0,,1,1,1,0,0,0,0,0,0,
11,Bloomfield,,Farmington,2010-11,,3,0,0,0,0,0,,0,0,0,0,0,1,0,0,2,
11,Bloomfield,,Hartford,2010-11,,27,0,0,1,2,2,,0,2,2,4,3,3,3,2,3,
11,Bloomfield,,Kent,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
11,Bloomfield,,Manchester,2010-11,,2,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,
11,Bloomfield,,Newington,2010-11,,3,0,0,1,1,0,,0,0,0,0,1,0,0,0,0,
11,Bloomfield,,Simsbury,2010-11,,31,2,2,3,2,3,,1,2,1,3,3,3,0,1,5,
11,Bloomfield,,Suffield,2010-11,,4,0,0,0,0,0,,0,0,0,0,0,1,0,2,1,
11,Bloomfield,,Terryville,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
11,Bloomfield,,West Hartford,2010-11,,208,9,7,17,13,25,,11,14,16,14,14,17,21,13,17,
11,Bloomfield,,West Simsbury,2010-11,,22,0,2,1,1,1,,2,2,1,1,1,3,2,3,2,
11,Bloomfield,,Westbrook,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,
11,Bloomfield,,Windsor,2010-11,,34,0,4,3,0,3,,2,3,5,1,4,3,2,4,0,
11,Bloomfield,,"Windsor, CT",2010-11,,24,3,3,0,3,3,,0,2,3,4,3,0,0,0,0,
11,Bloomfield,,Woodstock,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,
12,Bolton,,Avon,2010-11,,3,0,1,0,1,0,,0,0,0,0,0,0,0,1,0,
12,Bolton,,Bethlehem,2010-11,,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,
12,Bolton,,Bloomfield,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
12,Bolton,,East Hartford,2010-11,,2,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,
12,Bolton,,Hartford,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
12,Bolton,,Manchester,2010-11,,37,4,1,0,2,0,,4,1,3,1,3,4,4,8,2,
12,Bolton,,Newington,2010-11,,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,
12,Bolton,,Norwich,2010-11,,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,
12,Bolton,,Plainville,2010-11,,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,
12,Bolton,,Wallingford,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
12,Bolton,,West Hartford,2010-11,,6,0,1,0,0,1,,0,0,0,2,0,1,0,1,0,
12,Bolton,,Westbrook,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,
12,Bolton,,Windsor,2010-11,,6,0,0,0,0,0,,0,0,0,0,0,1,1,3,1,
13,Bozrah,,Groton,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,
13,Bozrah,,Mansfield,2010-11,,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,
13,Bozrah,,New London,2010-11,,5,0,0,0,0,1,,1,0,2,1,0,0,0,0,0,
13,Bozrah,,Norwich,2010-11,,14,1,1,2,1,3,,2,1,0,1,2,0,0,0,0,
13,Bozrah,,Taftville,2010-11,,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,
13,Bozrah,,Uncasville,2010-11,,3,0,0,0,0,0,,0,0,0,0,2,0,1,0,0,
14,Branford,,Avon,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,
14,Branford,,Branford,2010-11,,52,7,4,2,6,3,,3,4,9,2,12,0,0,0,0,
14,Branford,,East Haven,2010-11,,4,1,0,1,0,0,,1,1,0,0,0,0,0,0,0,
14,Branford,,Fairfield,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,1,0,1,0,
14,Branford,,Hamden,2010-11,,87,0,1,2,0,1,,4,4,2,5,9,13,10,16,20,
14,Branford,,Lakeville,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
14,Branford,,Madison,2010-11,,20,3,1,0,1,4,,1,5,1,2,0,0,0,1,1,
14,Branford,,Middlefield,2010-11,,1,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,
14,Branford,,Middletown,2010-11,,7,0,0,0,0,0,,0,0,0,0,0,2,1,2,2,
14,Branford,,Milford,2010-11,,3,0,0,0,0,0,,0,1,0,0,0,1,0,1,0,
14,Branford,,New Haven,2010-11,,89,1,2,5,5,13,,9,4,7,14,8,6,5,4,6,
14,Branford,,New Milford,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
14,Branford,,Old Saybrook,2010-11,,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,
14,Branford,,Orange,2010-11,,8,2,0,0,1,0,,0,0,0,0,1,1,0,3,0,
14,Branford,,Pomfret,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,
14,Branford,,Quaker Hill,2010-11,,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,
14,Branford,,Salisbury,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,
14,Branford,,Suffield,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,
14,Branford,,Trumbull,2010-11,,3,0,0,0,0,0,,0,0,0,2,1,0,0,0,0,
14,Branford,,Wallingford,2010-11,,4,0,0,2,1,0,,0,0,0,0,1,0,0,0,0,
14,Branford,,Washington,2010-11,,3,0,0,0,0,0,,0,0,0,0,0,0,2,1,0,
14,Branford,,West Hartford,2010-11,,2,0,0,0,0,0,,0,0,0,0,1,0,0,1,0,
14,Branford,,West Haven,2010-11,,43,0,0,0,0,0,,0,0,0,0,0,8,8,11,16,
14,Branford,,Westbrook,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,
14,Branford,,Woodbridge,2010-11,,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,
15,Bridgeport,,Ansonia,2010-11,,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,
15,Bridgeport,,Bridgeport,2010-11,,1654,102,148,140,136,169,,139,123,124,131,119,92,79,93,59,
15,Bridgeport,,Cromwell,2010-11,,3,0,0,0,0,0,,0,0,0,0,0,0,1,2,0,
15,Bridgeport,,Deep River,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,
15,Bridgeport,,Easton,2010-11,,36,0,2,3,2,2,,3,6,3,6,2,5,1,1,0,
15,Bridgeport,,Fairfield,2010-11,,442,23,18,28,16,25,,19,21,18,14,20,54,66,67,53,
15,Bridgeport,,Greens Farms,2010-11,,18,0,0,2,0,1,,3,0,2,1,0,2,3,1,3,
15,Bridgeport,,Greenwich,2010-11,,24,2,1,3,3,2,,3,4,1,1,3,0,1,0,0,
15,Bridgeport,,Hamden,2010-11,,9,1,0,0,1,0,,0,1,0,0,0,0,2,3,1,
15,Bridgeport,,Kent,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
15,Bridgeport,,Lakeville,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
15,Bridgeport,,Litchfield,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,
15,Bridgeport,,Middlebury,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,
15,Bridgeport,,Milford,2010-11,,54,0,1,1,0,0,,3,4,2,2,3,12,7,9,10,
15,Bridgeport,,Monroe,2010-11,,2,0,0,1,0,0,,0,0,0,0,1,0,0,0,0,
15,Bridgeport,,New Britain,2010-11,,4,0,0,0,0,0,,0,0,0,1,1,1,0,0,1,
15,Bridgeport,,New Canaan,2010-11,,7,1,0,0,1,1,,0,0,2,0,0,1,0,1,0,
15,Bridgeport,,New Haven,2010-11,,4,0,0,0,1,0,,0,0,0,0,0,2,1,0,0,
15,Bridgeport,,New Milford,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,
15,Bridgeport,,Newtown,2010-11,,4,1,1,0,1,0,,0,0,0,1,0,0,0,0,0,
15,Bridgeport,,North Haven,2010-11,,6,0,0,0,1,0,,0,1,0,1,2,0,0,1,0,
15,Bridgeport,,Norwalk,2010-11,,6,0,1,0,0,1,,1,1,0,2,0,0,0,0,0,
15,Bridgeport,,Oakdale,2010-11,,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,
15,Bridgeport,,Orange,2010-11,,13,2,1,0,0,0,,3,2,0,2,0,1,1,1,0,
15,Bridgeport,,Plainville,2010-11,,3,0,0,0,0,0,,0,0,0,0,0,1,0,1,1,
15,Bridgeport,,Pomfret,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,
15,Bridgeport,,Portland,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
15,Bridgeport,,Quaker Hill,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
15,Bridgeport,,Ridgefield,2010-11,,2,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,
15,Bridgeport,,South Kent,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,
15,Bridgeport,,Southport,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,
15,Bridgeport,,Stamford,2010-11,,6,4,1,0,0,0,,0,0,0,0,0,0,0,1,0,
15,Bridgeport,,Stratford,2010-11,,47,3,4,9,6,3,,3,6,5,4,4,0,0,0,0,
15,Bridgeport,,Thompson,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,
15,Bridgeport,,Trumball,2010-11,,228,22,27,14,12,12,,7,12,6,13,9,29,21,21,23,
15,Bridgeport,,Trumbull,2010-11,,52,4,3,4,3,2,,1,5,4,4,3,4,4,4,7,
15,Bridgeport,,Wallingford,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,
15,Bridgeport,,Waterbury,2010-11,,4,2,0,0,0,0,,0,0,0,1,0,0,0,1,0,
